Wall time,Step,Value
1677412325.5339715,0,4.381195545196533
1677412675.2491763,1,3.1343994140625
1677412752.8291292,2,2.5393524169921875
1677412830.9466324,3,2.1850125789642334
1677412909.4684641,4,1.9821085929870605
1677412987.6398392,5,1.8179545402526855
1677413065.428192,6,1.6761846542358398
1677413142.8795033,7,1.5622748136520386
1677413221.262119,8,1.4704444408416748
1677413298.4228756,9,1.3937594890594482
1677413376.1384852,10,1.3285741806030273
1677413454.5844555,11,1.2738012075424194
1677413532.3743145,12,1.223304033279419
1677413610.3969302,13,1.1789171695709229
1677413688.4294918,14,1.1401779651641846
1677413766.0109944,15,1.1071382761001587
1677413844.4358933,16,1.0751951932907104
1677413922.7614717,17,1.0454834699630737
1677414000.8493454,18,1.0174416303634644
1677414078.9981427,19,0.9919549822807312
1677414430.8182485,20,0.9691027998924255
1677414509.9104931,21,0.9474630951881409
1677414587.5666327,22,0.928013801574707
1677414665.784977,23,0.9100589752197266
1677414743.137193,24,0.8929005861282349
1677414820.958812,25,0.8764663934707642
1677414899.4441311,26,0.8604205250740051
1677414975.5818374,27,0.8456018567085266
1677415052.0287714,28,0.8317543864250183
1677415127.3345728,29,0.8178034424781799
1677415202.842395,30,0.8048624992370605
1677415277.781993,31,0.7929394245147705
1677415353.0597847,32,0.7811287641525269
1677415428.3705122,33,0.7704805731773376
1677415503.6846178,34,0.7597835063934326
1677415579.2482612,35,0.7498907446861267
1677415654.5795648,36,0.740456223487854
1677415729.7769816,37,0.7309736013412476
1677415804.9565802,38,0.7220951318740845
1677415879.2800941,39,0.7136868834495544
1677416223.9694512,40,0.7051919102668762
1677416298.9103353,41,0.6968966722488403
1677416372.8028708,42,0.6890999674797058
1677416445.7725,43,0.6817059516906738
1677416520.8580654,44,0.6746554970741272
1677416595.1145499,45,0.667576789855957
1677416670.107068,46,0.6605712175369263
1677416745.1091735,47,0.6540420055389404
1677416820.5073183,48,0.6477137804031372
1677416895.0173893,49,0.6415756344795227
1677416968.607936,50,0.6355958580970764
1677417044.1095743,51,0.629787266254425
1677417119.8254566,52,0.6241797804832458
1677417195.69489,53,0.6191229224205017
1677417270.7354336,54,0.6140421628952026
1677417346.0078313,55,0.6088544726371765
1677417420.469274,56,0.6037216782569885
1677417495.8835943,57,0.5988153219223022
1677417570.4166207,58,0.5940800905227661
1677417645.438317,59,0.5894850492477417
1677417991.506376,60,0.5849741697311401
1677418067.3884327,61,0.5806084275245667
1677418142.6058884,62,0.5762548446655273
1677418217.3507166,63,0.5721905827522278
1677418292.442044,64,0.5682440996170044
1677418367.8270526,65,0.5641035437583923
1677418442.723731,66,0.5603280663490295
1677418517.3124287,67,0.5566553473472595
1677418592.1114614,68,0.5529806017875671
1677418666.7726827,69,0.5492599606513977
1677418740.942375,70,0.545755922794342
1677418816.268818,71,0.5423281192779541
1677418890.4471197,72,0.5388923287391663
1677418965.6311624,73,0.5357151031494141
1677419039.7744548,74,0.5325284004211426
1677419116.0298522,75,0.5295298099517822
1677419190.9764988,76,0.5264642238616943
1677419266.5020895,77,0.523500382900238
1677419341.040747,78,0.5206426382064819
1677419415.6611674,79,0.5189801454544067
1677419760.221341,80,0.5167595744132996
1677419836.6706362,81,0.5142713189125061
1677419912.9136071,82,0.5116459131240845
1677419989.8353677,83,0.5087981820106506
1677420066.739633,84,0.5061600804328918
1677420141.7943714,85,0.5034953355789185
1677420217.6674623,86,0.5009161829948425
1677420292.9465122,87,0.498455673456192
1677420369.6558318,88,0.4960934519767761
1677420446.4767413,89,0.49380290508270264
1677420523.7666554,90,0.4914320409297943
