Wall time,Step,Value
1677854592.6121912,0,5.812399387359619
1677854835.3498054,1,2.1018075942993164
1677854899.3294003,2,1.5983248949050903
1677854961.6253736,3,1.468758225440979
1677855024.0184643,4,1.1813420057296753
1677855087.208378,5,1.0547441244125366
1677855149.6237588,6,0.9492122530937195
1677855215.1489515,7,0.9004846215248108
1677855279.3297167,8,0.8065752387046814
1677855341.6970685,9,0.8111633658409119
1677855402.819693,10,0.7976934313774109
1677855465.6715775,11,0.7611894607543945
1677855530.1758668,12,0.7273622155189514
1677855595.2605653,13,0.7040680050849915
1677855655.7108986,14,0.6920002102851868
1677855717.480861,15,0.6991683840751648
1677855780.5131855,16,0.6747698783874512
1677855846.3928735,17,0.671459436416626
1677855909.6302946,18,0.6461220383644104
1677855971.2331736,19,0.6215448975563049
1677856345.6150334,20,0.6148516535758972
1677856415.5157645,21,0.6294006705284119
1677856478.3481908,22,0.5734614729881287
1677856539.0471833,23,0.585777997970581
1677856605.0749125,24,0.5959422588348389
1677856728.0539005,25,0.5601663589477539
1677856826.5118325,26,0.5914109945297241
1677856982.2660701,27,0.5650351643562317
1677857046.3267882,28,0.5186472535133362
1677857110.1371765,29,0.526449978351593
1677857175.3323438,30,0.5394442677497864
1677857240.782342,31,0.5326089859008789
1677857308.077446,32,0.5118114948272705
1677857371.7334332,33,0.5094888806343079
1677857435.885745,34,0.48669251799583435
1677857500.8320816,35,0.5273048877716064
1677857570.264031,36,0.5482842326164246
1677857632.8077931,37,0.4864470958709717
1677857697.6221583,38,0.4663602113723755
1677857762.826369,39,0.46827349066734314
1677858095.9697666,40,0.4526749551296234
1677858161.111766,41,0.4455760717391968
1677858226.0430942,42,0.44212213158607483
1677858292.3102126,43,0.4905754625797272
1677858356.4523215,44,0.6035533547401428
1677858421.6454709,45,0.5177194476127625
1677858489.225271,46,0.47482410073280334
1677858556.7787182,47,0.4796949625015259
1677858619.865788,48,0.4393567144870758
1677858687.832386,49,0.47420254349708557
1677858752.37114,50,0.44755819439888
1677858817.0162857,51,0.4699300527572632
1677858879.3134491,52,0.459024041891098
1677858947.8724923,53,0.463909387588501
1677859012.548806,54,0.42600879073143005
1677859081.2709527,55,0.4064328670501709
1677859145.1090753,56,0.4844034016132355
1677859211.929155,57,0.5165323615074158
1677859275.9623454,58,0.48912444710731506
1677859336.2137764,59,0.43823495507240295
1677859851.7588367,60,0.470833420753479
1677859921.1307902,61,0.4281825125217438
1677859985.8844125,62,0.41915687918663025
1677860052.9428208,63,0.41957393288612366
1677860117.639723,64,0.49217405915260315
1677860185.7840102,65,0.6032239198684692
1677860254.1537943,66,0.5182943344116211
1677860317.6978796,67,0.7293646931648254
1677860384.1769922,68,0.6608560085296631
1677860452.8734565,69,0.5778634548187256
1677860521.7908425,70,0.5551652908325195
1677860586.2747297,71,0.5175515413284302
1677860648.1493852,72,0.49529722332954407
1677860714.8090072,73,0.47968554496765137
1677860780.0586245,74,0.453631192445755
1677860848.9783244,75,0.46224331855773926
1677860912.5265856,76,0.44685423374176025
1677860978.7045727,77,0.4385192096233368
1677861047.2934725,78,0.4270269572734833
1677861112.6078856,79,0.4203249216079712
1677864171.4158025,80,0.4225590229034424
1677864226.3967106,81,0.4148578643798828
1677864281.0892396,82,0.42661845684051514
1677864336.265417,83,0.4210991859436035
1677864391.1476882,84,0.4193546772003174
1677864445.2129571,85,0.3999696671962738
1677864499.8908114,86,0.5051265358924866
1677864554.4362655,87,0.581379234790802
1677864609.3305523,88,0.44756579399108887
1677864664.848799,89,0.4256376326084137
1677864870.8195724,90,0.402475506067276
1677864928.1343184,91,0.41822507977485657
1677864984.3514464,92,0.3963625133037567
1677865041.437279,93,0.40463224053382874
1677865096.695117,94,0.4083522856235504
1677865152.1958098,95,0.4088260233402252
1677865207.8337367,96,0.39518681168556213
1677865263.6509695,97,0.38138461112976074
1677865319.5119963,98,0.39207956194877625
1677865374.3055177,99,0.3662513196468353
1677865593.1797633,100,0.3874310553073883
1677865649.672552,101,0.3660009801387787
1677865706.8383224,102,0.37007513642311096
1677865762.4259408,103,0.37714967131614685
1677865818.2895465,104,0.36559197306632996
1677865875.6508458,105,0.36053743958473206
1677865931.3402815,106,0.37222322821617126
1677865986.3306632,107,0.536754310131073
1677866044.0116827,108,0.6597926020622253
1677866100.6359627,109,0.5044168829917908
1677866156.7147605,110,0.4438827931880951
1677866214.5266106,111,0.41809597611427307
1677866271.7618682,112,0.5185410380363464
1677866329.1238146,113,0.5046606659889221
1677866388.0092592,114,0.4417915344238281
1677866458.5133967,115,0.4300123155117035
1677866538.7949002,116,0.411718487739563
1677866605.4260945,117,0.39907124638557434
1677866663.2564168,118,0.39244595170021057
1677866720.2210562,119,0.3866916000843048
1677866943.5570264,120,0.3858056366443634
1677866999.0431032,121,0.38041773438453674
1677867053.7231965,122,0.36202025413513184
1677867109.9098926,123,0.35620370507240295
1677867165.71821,124,0.36541295051574707
1677867222.6375463,125,0.35661283135414124
1677867278.3708022,126,0.35462984442710876
1677867336.3405006,127,0.3599247634410858
1677867396.6181097,128,0.3462807834148407
1677867455.3348188,129,0.36595067381858826
1677867512.9726052,130,0.3503517806529999
1677867570.042534,131,0.35860228538513184
1677867627.0744298,132,0.3513267934322357
1677867684.250308,133,0.3433011472225189
1677867742.2678027,134,0.3548782765865326
1677867803.255209,135,0.35798466205596924
1677867863.69075,136,0.34791651368141174
1677867919.3012238,137,0.371605783700943
1677867983.1549065,138,0.3506467342376709
1677868048.1058555,139,0.3409499228000641
1677868288.5341387,140,0.3293227255344391
1677868359.640749,141,0.3309158384799957
1677868423.3597639,142,0.34602418541908264
1677868493.4747326,143,0.34055599570274353
1677868563.4719486,144,0.34164103865623474
1677868630.7196093,145,0.32520708441734314
1677868707.3236625,146,0.34427663683891296
1677868767.037834,147,0.32271841168403625
1677868847.6641426,148,0.34249863028526306
